,neighbourhood,mean_availability,mean_price,median_availability,median_price
153,tribeca,179.97169811320754,332.00943396226415,180.0,297.0
154,upper east side,183.0383451059536,154.13824419778,185.0,147.0
155,upper west side,171.43737373737375,165.47676767676768,175.5,150.0
156,van nest,110.22222222222223,58.55555555555556,89.0,35.0
157,wakefield,230.69444444444446,64.25,273.0,59.5
158,washington heights,155.59325396825398,78.81349206349206,125.5,70.0
159,west brighton,264.875,66.25,292.5,62.0
160,westchester square,177.375,62.5,132.0,67.5
161,westerleigh,112.5,71.5,112.5,71.5
162,whitestone,169.75,61.625,123.0,47.0
163,williamsbridge,251.48275862068965,66.6896551724138,311.0,60.0
164,williamsburg,137.67513227513228,133.65396825396826,93.0,110.0
165,willowbrook,351.0,249.0,351.0,249.0
166,windsor terrace,142.09638554216866,117.20481927710843,126.0,105.0
167,woodhaven,229.90277777777777,56.56944444444444,273.0,50.0
168,woodlawn,120.11111111111111,60.111111111111114,70.0,68.0
169,woodside,170.0121951219512,74.63414634146342,175.0,60.0
